Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 63,011
Initial nonzero: 62,755 (99.59%)
Training for 1000 steps (~100 epochs)
Epochs:  31%|███       | 31/100 [00:15<00:44,  1.56it/s]
Epoch 0: val_loss=4.6883, val_acc=0.0117
Epoch 1: val_loss=4.6720, val_acc=0.0106
Epoch 2: val_loss=4.6580, val_acc=0.0094
Epoch 3: val_loss=4.6508, val_acc=0.0091
Epoch 4: val_loss=4.6449, val_acc=0.0100
Epoch 5: val_loss=4.6359, val_acc=0.0091
Epoch 6: val_loss=4.6334, val_acc=0.0125
Epoch 7: val_loss=4.6263, val_acc=0.0121
Epoch 8: val_loss=4.6255, val_acc=0.0102
Epoch 9: val_loss=4.6165, val_acc=0.0121
Epoch 10: val_loss=4.6169, val_acc=0.0117
Epoch 11: val_loss=4.6170, val_acc=0.0100
Epoch 12: val_loss=4.6154, val_acc=0.0096
Epoch 13: val_loss=4.6119, val_acc=0.0098
Epoch 14: val_loss=4.6119, val_acc=0.0094
Epoch 15: val_loss=4.6099, val_acc=0.0098
Epoch 16: val_loss=4.6115, val_acc=0.0085
Epoch 17: val_loss=4.6134, val_acc=0.0087
Epoch 18: val_loss=4.6146, val_acc=0.0098
Epoch 19: val_loss=4.6136, val_acc=0.0091
Epoch 20: val_loss=4.6126, val_acc=0.0087
Epoch 21: val_loss=4.6113, val_acc=0.0089
Epoch 22: val_loss=4.6129, val_acc=0.0096
Epoch 23: val_loss=4.6071, val_acc=0.0094
Epoch 24: val_loss=4.6043, val_acc=0.0096
Epoch 25: val_loss=4.6009, val_acc=0.0096
Epoch 26: val_loss=4.6025, val_acc=0.0108
Epoch 27: val_loss=4.6018, val_acc=0.0119
Epoch 28: val_loss=4.5994, val_acc=0.0094
Epoch 29: val_loss=4.5990, val_acc=0.0102
Epoch 30: val_loss=4.5990, val_acc=0.0104
Epoch 31: val_loss=4.5986, val_acc=0.0094
Epoch 32: val_loss=4.5980, val_acc=0.0102
Epoch 33: val_loss=4.5972, val_acc=0.0119
Epoch 34: val_loss=4.5967, val_acc=0.0094
