100%|██████████| 1000/1000 [14:39<00:00,  1.14it/s]

============================================================
🔶 SPARSE TRAINING
============================================================
Config: 2L×128D×4H, L0=0.1
wandb: WARNING Calling wandb.login() after wandb.init() has no effect.
wandb: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Initial nonzero: 421,219 (99.76%)
Training for 10000 steps (~1000 epochs)
Epochs:   3%|▎         | 31/1000 [00:43<20:08,  1.25s/it]
Epoch 0: val_loss=4.7495, val_acc=0.0108
Epoch 1: val_loss=4.7440, val_acc=0.0108
Epoch 2: val_loss=4.7350, val_acc=0.0108
Epoch 3: val_loss=4.7233, val_acc=0.0104
Epoch 4: val_loss=4.7064, val_acc=0.0104
Epoch 5: val_loss=4.6924, val_acc=0.0094
Epoch 6: val_loss=4.6786, val_acc=0.0089
Epoch 7: val_loss=4.6658, val_acc=0.0085
Epoch 8: val_loss=4.6499, val_acc=0.0087
Epoch 9: val_loss=4.6404, val_acc=0.0091
Epoch 10: val_loss=4.6310, val_acc=0.0102
Epoch 11: val_loss=4.6245, val_acc=0.0100
Epoch 12: val_loss=4.6199, val_acc=0.0100
Epoch 13: val_loss=4.6208, val_acc=0.0087
Epoch 14: val_loss=4.6178, val_acc=0.0096
Epoch 15: val_loss=4.6148, val_acc=0.0100
Epoch 16: val_loss=4.6127, val_acc=0.0081
Epoch 17: val_loss=4.6177, val_acc=0.0074
Epoch 18: val_loss=4.6143, val_acc=0.0070
Epoch 19: val_loss=4.6118, val_acc=0.0072
Epoch 20: val_loss=4.6094, val_acc=0.0089
Epoch 21: val_loss=4.6087, val_acc=0.0108
Epoch 22: val_loss=4.6071, val_acc=0.0091
Epoch 23: val_loss=4.6058, val_acc=0.0094
Epoch 24: val_loss=4.6045, val_acc=0.0098
Epoch 25: val_loss=4.6039, val_acc=0.0096
Epoch 26: val_loss=4.6072, val_acc=0.0094
Epoch 27: val_loss=4.6064, val_acc=0.0098
Epoch 28: val_loss=4.6048, val_acc=0.0098
Epoch 29: val_loss=4.6041, val_acc=0.0100
Epoch 30: val_loss=4.6087, val_acc=0.0102
Epoch 31: val_loss=4.6075, val_acc=0.0098
Epoch 32: val_loss=4.6063, val_acc=0.0081
Epoch 33: val_loss=4.6045, val_acc=0.0087
Epoch 34: val_loss=4.6059, val_acc=0.0091
Epoch 35: val_loss=4.6052, val_acc=0.0089
Epoch 36: val_loss=4.6041, val_acc=0.0091
Epoch 37: val_loss=4.6033, val_acc=0.0083
Epoch 38: val_loss=4.6028, val_acc=0.0091
Epoch 39: val_loss=4.6057, val_acc=0.0081
Epoch 40: val_loss=4.6052, val_acc=0.0066
Epoch 41: val_loss=4.6042, val_acc=0.0079
Epoch 42: val_loss=4.6034, val_acc=0.0070
Epoch 43: val_loss=4.6064, val_acc=0.0081
Epoch 44: val_loss=4.6054, val_acc=0.0079
Epoch 45: val_loss=4.6051, val_acc=0.0087
Epoch 46: val_loss=4.6034, val_acc=0.0091
Epoch 47: val_loss=4.6037, val_acc=0.0096
Epoch 48: val_loss=4.6034, val_acc=0.0098
Epoch 49: val_loss=4.6029, val_acc=0.0079
