100%|██████████| 200/200 [03:20<00:00,  1.00s/it]

============================================================
🔶 SPARSE TRAINING
============================================================
Config: 2L×128D×4H, L0=0.1
wandb: WARNING Calling wandb.login() after wandb.init() has no effect.
wandb: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Initial nonzero: 421,219 (99.76%)
Training for 2000 steps (~200 epochs)
Epochs:  16%|█▌        | 31/200 [00:46<04:00,  1.42s/it]
Epoch 0: val_loss=4.7383, val_acc=0.0102
Epoch 1: val_loss=4.6983, val_acc=0.0089
Epoch 2: val_loss=4.6680, val_acc=0.0104
Epoch 3: val_loss=4.6533, val_acc=0.0072
Epoch 4: val_loss=4.6461, val_acc=0.0087
Epoch 5: val_loss=4.6318, val_acc=0.0096
Epoch 6: val_loss=4.6254, val_acc=0.0104
Epoch 7: val_loss=4.6263, val_acc=0.0113
Epoch 8: val_loss=4.6240, val_acc=0.0096
Epoch 9: val_loss=4.6204, val_acc=0.0089
Epoch 10: val_loss=4.6223, val_acc=0.0096
Epoch 11: val_loss=4.6219, val_acc=0.0098
Epoch 12: val_loss=4.6215, val_acc=0.0094
Epoch 13: val_loss=4.6199, val_acc=0.0077
Epoch 14: val_loss=4.6192, val_acc=0.0094
Epoch 15: val_loss=4.6192, val_acc=0.0083
Epoch 16: val_loss=4.6161, val_acc=0.0102
Epoch 17: val_loss=4.6159, val_acc=0.0106
Epoch 18: val_loss=4.6127, val_acc=0.0087
Epoch 19: val_loss=4.6135, val_acc=0.0089
Epoch 20: val_loss=4.6115, val_acc=0.0085
Epoch 21: val_loss=4.6137, val_acc=0.0100
Epoch 22: val_loss=4.6159, val_acc=0.0081
Epoch 23: val_loss=4.6153, val_acc=0.0083
Epoch 24: val_loss=4.6129, val_acc=0.0094
Epoch 25: val_loss=4.6125, val_acc=0.0085
Epoch 26: val_loss=4.6089, val_acc=0.0091
Epoch 27: val_loss=4.6081, val_acc=0.0094
Epoch 28: val_loss=4.6068, val_acc=0.0102
Epoch 29: val_loss=4.6075, val_acc=0.0111
Epoch 30: val_loss=4.6079, val_acc=0.0089
Epoch 31: val_loss=4.6092, val_acc=0.0089
Epoch 32: val_loss=4.6081, val_acc=0.0091
Epoch 33: val_loss=4.6095, val_acc=0.0106
Epoch 34: val_loss=4.6074, val_acc=0.0087
Epoch 35: val_loss=4.6068, val_acc=0.0085
Epoch 36: val_loss=4.6050, val_acc=0.0089
Epoch 37: val_loss=4.6049, val_acc=0.0094
Epoch 38: val_loss=4.6045, val_acc=0.0091
Epoch 39: val_loss=4.6044, val_acc=0.0096
Epoch 40: val_loss=4.6041, val_acc=0.0085
Epoch 41: val_loss=4.6026, val_acc=0.0113
Epoch 42: val_loss=4.6043, val_acc=0.0085
Epoch 43: val_loss=4.6045, val_acc=0.0087
Epoch 44: val_loss=4.6041, val_acc=0.0068
Epoch 45: val_loss=4.6041, val_acc=0.0106
Epoch 46: val_loss=4.6013, val_acc=0.0111
Epoch 47: val_loss=4.6019, val_acc=0.0102
Epoch 48: val_loss=4.6024, val_acc=0.0104
Epoch 49: val_loss=4.6015, val_acc=0.0068
