Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Initial nonzero: 421,219 (99.76%)
Training for 10000 steps (~1000 epochs)
Epochs:   3%|▎         | 31/1000 [00:31<15:10,  1.06it/s]
Epoch 0: val_loss=4.7682, val_acc=0.0113
Epoch 1: val_loss=4.7604, val_acc=0.0119
Epoch 2: val_loss=4.7480, val_acc=0.0121
Epoch 3: val_loss=4.7324, val_acc=0.0134
Epoch 4: val_loss=4.7145, val_acc=0.0125
Epoch 5: val_loss=4.6955, val_acc=0.0121
Epoch 6: val_loss=4.6775, val_acc=0.0125
Epoch 7: val_loss=4.6611, val_acc=0.0128
Epoch 8: val_loss=4.6464, val_acc=0.0132
Epoch 9: val_loss=4.6345, val_acc=0.0119
Epoch 10: val_loss=4.6252, val_acc=0.0115
Epoch 11: val_loss=4.6186, val_acc=0.0106
Epoch 12: val_loss=4.6140, val_acc=0.0102
Epoch 13: val_loss=4.6110, val_acc=0.0091
Epoch 14: val_loss=4.6084, val_acc=0.0089
Epoch 15: val_loss=4.6066, val_acc=0.0100
Epoch 16: val_loss=4.6053, val_acc=0.0072
Epoch 17: val_loss=4.6045, val_acc=0.0066
Epoch 18: val_loss=4.6031, val_acc=0.0081
Epoch 19: val_loss=4.6022, val_acc=0.0085
Epoch 20: val_loss=4.6016, val_acc=0.0066
Epoch 21: val_loss=4.6013, val_acc=0.0070
Epoch 22: val_loss=4.6010, val_acc=0.0070
Epoch 23: val_loss=4.6008, val_acc=0.0074
Epoch 24: val_loss=4.6007, val_acc=0.0085
Epoch 25: val_loss=4.6009, val_acc=0.0077
Epoch 26: val_loss=4.6012, val_acc=0.0081
Epoch 27: val_loss=4.6013, val_acc=0.0077
Epoch 28: val_loss=4.6012, val_acc=0.0081
Epoch 29: val_loss=4.6010, val_acc=0.0087
Epoch 30: val_loss=4.6011, val_acc=0.0079
Epoch 31: val_loss=4.6008, val_acc=0.0087
Epoch 32: val_loss=4.6004, val_acc=0.0091
Epoch 33: val_loss=4.5997, val_acc=0.0094
Epoch 34: val_loss=4.5996, val_acc=0.0087
Epoch 35: val_loss=4.5996, val_acc=0.0094
Epoch 36: val_loss=4.5994, val_acc=0.0096
Epoch 37: val_loss=4.5989, val_acc=0.0100
Epoch 38: val_loss=4.5987, val_acc=0.0085
Epoch 39: val_loss=4.5988, val_acc=0.0077
Epoch 40: val_loss=4.5987, val_acc=0.0081
Epoch 41: val_loss=4.5987, val_acc=0.0087
Epoch 42: val_loss=4.5989, val_acc=0.0089
Epoch 43: val_loss=4.5988, val_acc=0.0089
Epoch 44: val_loss=4.5989, val_acc=0.0085
Epoch 45: val_loss=4.5990, val_acc=0.0100
Epoch 46: val_loss=4.5989, val_acc=0.0081
Epoch 47: val_loss=4.5988, val_acc=0.0087
Epoch 48: val_loss=4.5988, val_acc=0.0089
Epoch 49: val_loss=4.5990, val_acc=0.0085
Epoch 50: val_loss=4.5993, val_acc=0.0096
Epoch 51: val_loss=4.5993, val_acc=0.0096
Epoch 52: val_loss=4.5993, val_acc=0.0081
Epoch 53: val_loss=4.5994, val_acc=0.0083
Epoch 54: val_loss=4.5996, val_acc=0.0077
Epoch 55: val_loss=4.5994, val_acc=0.0085
Epoch 56: val_loss=4.5994, val_acc=0.0083
Epoch 57: val_loss=4.5994, val_acc=0.0077
Epoch 58: val_loss=4.5996, val_acc=0.0085
Epoch 59: val_loss=4.5995, val_acc=0.0087
Epoch 60: val_loss=4.5990, val_acc=0.0085
Epoch 61: val_loss=4.5990, val_acc=0.0083
Epoch 62: val_loss=4.5990, val_acc=0.0085
Epoch 63: val_loss=4.5995, val_acc=0.0083
Epoch 64: val_loss=4.5995, val_acc=0.0068
Epoch 65: val_loss=4.5992, val_acc=0.0077
Epoch 66: val_loss=4.5992, val_acc=0.0068
Epoch 67: val_loss=4.5994, val_acc=0.0070
Epoch 68: val_loss=4.5993, val_acc=0.0072
Epoch 69: val_loss=4.5994, val_acc=0.0074
Epoch 70: val_loss=4.5993, val_acc=0.0079
Epoch 71: val_loss=4.5992, val_acc=0.0068
Epoch 72: val_loss=4.5991, val_acc=0.0064
Epoch 73: val_loss=4.5992, val_acc=0.0066
Epoch 74: val_loss=4.5992, val_acc=0.0074
Epoch 75: val_loss=4.5992, val_acc=0.0070
Epoch 76: val_loss=4.5992, val_acc=0.0072
Epoch 77: val_loss=4.5991, val_acc=0.0068
Epoch 78: val_loss=4.5989, val_acc=0.0070
Epoch 79: val_loss=4.5991, val_acc=0.0072
Epoch 80: val_loss=4.5991, val_acc=0.0072
Epoch 81: val_loss=4.5992, val_acc=0.0074
Epoch 82: val_loss=4.5994, val_acc=0.0083
Epoch 83: val_loss=4.5992, val_acc=0.0074
