Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Initial nonzero: 421,219 (99.76%)
Training for 2000 steps (~200 epochs)
Epochs:  16%|█▌        | 31/200 [00:47<04:32,  1.61s/it]
Epoch 0: val_loss=4.6337, val_acc=0.0094
Epoch 1: val_loss=4.6218, val_acc=0.0104
Epoch 2: val_loss=4.6168, val_acc=0.0049
Epoch 3: val_loss=4.6226, val_acc=0.0049
Epoch 4: val_loss=4.6428, val_acc=0.0060
Epoch 5: val_loss=4.6749, val_acc=0.0032
Epoch 6: val_loss=4.7398, val_acc=0.0017
Epoch 7: val_loss=4.8335, val_acc=0.0011
Epoch 8: val_loss=4.9492, val_acc=0.0015
Epoch 9: val_loss=5.0492, val_acc=0.0009
Epoch 10: val_loss=5.1456, val_acc=0.0009
Epoch 11: val_loss=5.2059, val_acc=0.0009
Epoch 12: val_loss=5.2375, val_acc=0.0006
Epoch 13: val_loss=5.2978, val_acc=0.0002
Epoch 14: val_loss=5.3304, val_acc=0.0004
Epoch 15: val_loss=5.3764, val_acc=0.0004
Epoch 16: val_loss=5.4185, val_acc=0.0011
Epoch 17: val_loss=5.4446, val_acc=0.0011
Epoch 18: val_loss=5.4869, val_acc=0.0015
Epoch 19: val_loss=5.5072, val_acc=0.0017
Epoch 20: val_loss=5.5457, val_acc=0.0028
Epoch 21: val_loss=5.5785, val_acc=0.0030
Epoch 22: val_loss=5.6242, val_acc=0.0034
Epoch 23: val_loss=5.6322, val_acc=0.0045
Epoch 24: val_loss=5.6453, val_acc=0.0043
Epoch 25: val_loss=5.6658, val_acc=0.0066
Epoch 26: val_loss=5.6884, val_acc=0.0070
Epoch 27: val_loss=5.6957, val_acc=0.0083
Epoch 28: val_loss=5.7039, val_acc=0.0083
Epoch 29: val_loss=5.7256, val_acc=0.0117
Epoch 30: val_loss=5.7290, val_acc=0.0132
Epoch 31: val_loss=5.7275, val_acc=0.0157
Epoch 32: val_loss=5.7843, val_acc=0.0170
Epoch 33: val_loss=5.8023, val_acc=0.0183
Epoch 34: val_loss=5.8093, val_acc=0.0208
Epoch 35: val_loss=5.7912, val_acc=0.0259
Epoch 36: val_loss=5.8136, val_acc=0.0281
Epoch 37: val_loss=5.8302, val_acc=0.0319
Epoch 38: val_loss=5.8622, val_acc=0.0327
Epoch 39: val_loss=5.8818, val_acc=0.0319
Epoch 40: val_loss=5.8621, val_acc=0.0404
Epoch 41: val_loss=5.8767, val_acc=0.0429
Epoch 42: val_loss=5.9221, val_acc=0.0453
Epoch 43: val_loss=5.9220, val_acc=0.0470
Epoch 44: val_loss=5.9166, val_acc=0.0516
Epoch 45: val_loss=5.9486, val_acc=0.0538
Epoch 46: val_loss=5.9740, val_acc=0.0567
Epoch 47: val_loss=6.0068, val_acc=0.0610
Epoch 48: val_loss=6.0112, val_acc=0.0584
Epoch 49: val_loss=6.0385, val_acc=0.0580
Epoch 50: val_loss=6.0537, val_acc=0.0616
Epoch 51: val_loss=6.0619, val_acc=0.0650
Epoch 52: val_loss=6.0983, val_acc=0.0640
Epoch 53: val_loss=6.0872, val_acc=0.0714
Epoch 54: val_loss=6.1058, val_acc=0.0740
Epoch 55: val_loss=6.1168, val_acc=0.0763
Epoch 56: val_loss=6.1538, val_acc=0.0738
Epoch 57: val_loss=6.1679, val_acc=0.0731
Epoch 58: val_loss=6.1724, val_acc=0.0795
Epoch 59: val_loss=6.1933, val_acc=0.0801
Epoch 60: val_loss=6.2107, val_acc=0.0840
Epoch 61: val_loss=6.2101, val_acc=0.0842
Epoch 62: val_loss=6.2178, val_acc=0.0859
Epoch 63: val_loss=6.2498, val_acc=0.0859
Epoch 64: val_loss=6.2847, val_acc=0.0869
Epoch 65: val_loss=6.2813, val_acc=0.0914
Epoch 66: val_loss=6.2951, val_acc=0.0937
Epoch 67: val_loss=6.2991, val_acc=0.0956
Epoch 68: val_loss=6.3177, val_acc=0.0959
Epoch 69: val_loss=6.3311, val_acc=0.0956
Epoch 70: val_loss=6.3513, val_acc=0.0961
Epoch 71: val_loss=6.3496, val_acc=0.0984
Epoch 72: val_loss=6.3928, val_acc=0.0980
Epoch 73: val_loss=6.4132, val_acc=0.1014
Epoch 74: val_loss=6.4279, val_acc=0.0999
Epoch 75: val_loss=6.4083, val_acc=0.1046
Epoch 76: val_loss=6.4429, val_acc=0.1048
Epoch 77: val_loss=6.4390, val_acc=0.1050
Epoch 78: val_loss=6.4618, val_acc=0.1065
Epoch 79: val_loss=6.5000, val_acc=0.1075
Epoch 80: val_loss=6.5047, val_acc=0.1052
Epoch 81: val_loss=6.4923, val_acc=0.1120
Epoch 82: val_loss=6.4928, val_acc=0.1141
Epoch 83: val_loss=6.5281, val_acc=0.1139
Epoch 84: val_loss=6.5269, val_acc=0.1173
Epoch 85: val_loss=6.5701, val_acc=0.1124
Epoch 86: val_loss=6.5779, val_acc=0.1177
Epoch 87: val_loss=6.6102, val_acc=0.1137
Epoch 88: val_loss=6.6395, val_acc=0.1194
Epoch 89: val_loss=6.6409, val_acc=0.1199
Epoch 90: val_loss=6.6439, val_acc=0.1216
Epoch 91: val_loss=6.6545, val_acc=0.1228
Epoch 92: val_loss=6.6737, val_acc=0.1237
Epoch 93: val_loss=6.6712, val_acc=0.1243
Epoch 94: val_loss=6.6952, val_acc=0.1254
Epoch 95: val_loss=6.7294, val_acc=0.1252
Epoch 96: val_loss=6.7193, val_acc=0.1311
Epoch 97: val_loss=6.7459, val_acc=0.1301
Epoch 98: val_loss=6.7662, val_acc=0.1265
Epoch 99: val_loss=6.7402, val_acc=0.1328
Epoch 100: val_loss=6.7805, val_acc=0.1318
Epoch 101: val_loss=6.7928, val_acc=0.1335
Epoch 102: val_loss=6.8139, val_acc=0.1328
Epoch 103: val_loss=6.8117, val_acc=0.1356
Epoch 104: val_loss=6.8249, val_acc=0.1369
Epoch 105: val_loss=6.8557, val_acc=0.1356
Epoch 106: val_loss=6.8552, val_acc=0.1356
Epoch 107: val_loss=6.8640, val_acc=0.1352
Epoch 108: val_loss=6.8728, val_acc=0.1403
Epoch 109: val_loss=6.8801, val_acc=0.1354
Epoch 110: val_loss=6.8822, val_acc=0.1420
Epoch 111: val_loss=6.9129, val_acc=0.1422
Epoch 112: val_loss=6.8986, val_acc=0.1428
Epoch 113: val_loss=6.9024, val_acc=0.1428
Epoch 114: val_loss=6.9217, val_acc=0.1445
Epoch 115: val_loss=6.9276, val_acc=0.1450
Epoch 116: val_loss=6.9393, val_acc=0.1439
Epoch 117: val_loss=6.9492, val_acc=0.1447
Epoch 118: val_loss=6.9534, val_acc=0.1477
Epoch 119: val_loss=6.9742, val_acc=0.1437
Epoch 120: val_loss=6.9829, val_acc=0.1443
Epoch 121: val_loss=6.9770, val_acc=0.1443
Epoch 122: val_loss=6.9859, val_acc=0.1473
Epoch 123: val_loss=7.0001, val_acc=0.1477
Epoch 124: val_loss=6.9929, val_acc=0.1471
Epoch 125: val_loss=7.0033, val_acc=0.1464
Epoch 126: val_loss=7.0017, val_acc=0.1484
Epoch 127: val_loss=7.0171, val_acc=0.1490
Epoch 128: val_loss=7.0269, val_acc=0.1481
Epoch 129: val_loss=7.0205, val_acc=0.1488
Epoch 130: val_loss=7.0435, val_acc=0.1490
Epoch 131: val_loss=7.0258, val_acc=0.1501
Epoch 132: val_loss=7.0448, val_acc=0.1498
Epoch 133: val_loss=7.0491, val_acc=0.1505
Epoch 134: val_loss=7.0465, val_acc=0.1515
Epoch 135: val_loss=7.0541, val_acc=0.1528
Epoch 136: val_loss=7.0639, val_acc=0.1518
Epoch 137: val_loss=7.0618, val_acc=0.1518
Epoch 138: val_loss=7.0692, val_acc=0.1524
Epoch 139: val_loss=7.0644, val_acc=0.1524
Epoch 140: val_loss=7.0687, val_acc=0.1507
Epoch 141: val_loss=7.0706, val_acc=0.1518
Epoch 142: val_loss=7.0790, val_acc=0.1494
Epoch 143: val_loss=7.0825, val_acc=0.1507
Epoch 144: val_loss=7.0787, val_acc=0.1526
Epoch 145: val_loss=7.0845, val_acc=0.1522
Epoch 146: val_loss=7.0872, val_acc=0.1520
Epoch 147: val_loss=7.0912, val_acc=0.1522
Epoch 148: val_loss=7.0960, val_acc=0.1535
Epoch 149: val_loss=7.0922, val_acc=0.1526
Epoch 150: val_loss=7.0871, val_acc=0.1543
Epoch 151: val_loss=7.0983, val_acc=0.1522
Epoch 152: val_loss=7.0918, val_acc=0.1528
