Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Initial nonzero: 421,219 (99.76%)
Training for 10000 steps (~1000 epochs)
Epochs:   3%|▎         | 31/1000 [00:39<18:31,  1.15s/it]
Epoch 0: val_loss=4.7152, val_acc=0.0125
Epoch 1: val_loss=4.6367, val_acc=0.0091
Epoch 2: val_loss=4.6170, val_acc=0.0081
Epoch 3: val_loss=4.6106, val_acc=0.0068
Epoch 4: val_loss=4.6132, val_acc=0.0066
Epoch 5: val_loss=4.6210, val_acc=0.0083
Epoch 6: val_loss=4.6340, val_acc=0.0055
Epoch 7: val_loss=4.6551, val_acc=0.0043
Epoch 8: val_loss=4.6975, val_acc=0.0038
Epoch 9: val_loss=4.7686, val_acc=0.0023
Epoch 10: val_loss=4.8538, val_acc=0.0045
Epoch 11: val_loss=4.9445, val_acc=0.0017
Epoch 12: val_loss=5.0287, val_acc=0.0013
Epoch 13: val_loss=5.1400, val_acc=0.0004
Epoch 14: val_loss=5.2079, val_acc=0.0013
Epoch 15: val_loss=5.2609, val_acc=0.0002
Epoch 16: val_loss=5.3016, val_acc=0.0015
Epoch 17: val_loss=5.3048, val_acc=0.0017
Epoch 18: val_loss=5.3597, val_acc=0.0017
Epoch 19: val_loss=5.3812, val_acc=0.0009
Epoch 20: val_loss=5.4034, val_acc=0.0019
Epoch 21: val_loss=5.4250, val_acc=0.0026
Epoch 22: val_loss=5.4594, val_acc=0.0032
Epoch 23: val_loss=5.4631, val_acc=0.0064
Epoch 24: val_loss=5.4703, val_acc=0.0053
Epoch 25: val_loss=5.5048, val_acc=0.0051
Epoch 26: val_loss=5.5277, val_acc=0.0064
Epoch 27: val_loss=5.5448, val_acc=0.0077
Epoch 28: val_loss=5.5405, val_acc=0.0083
Epoch 29: val_loss=5.5400, val_acc=0.0111
Epoch 30: val_loss=5.5833, val_acc=0.0111
Epoch 31: val_loss=5.5632, val_acc=0.0149
Epoch 32: val_loss=5.5942, val_acc=0.0164
Epoch 33: val_loss=5.5873, val_acc=0.0204
Epoch 34: val_loss=5.6081, val_acc=0.0217
Epoch 35: val_loss=5.5691, val_acc=0.0289
Epoch 36: val_loss=5.5744, val_acc=0.0308
Epoch 37: val_loss=5.5458, val_acc=0.0370
Epoch 38: val_loss=5.5482, val_acc=0.0417
Epoch 39: val_loss=5.5396, val_acc=0.0504
Epoch 40: val_loss=5.5649, val_acc=0.0529
Epoch 41: val_loss=5.5983, val_acc=0.0510
Epoch 42: val_loss=5.5628, val_acc=0.0640
Epoch 43: val_loss=5.5570, val_acc=0.0714
Epoch 44: val_loss=5.5572, val_acc=0.0710
Epoch 45: val_loss=5.5652, val_acc=0.0748
Epoch 46: val_loss=5.5750, val_acc=0.0799
Epoch 47: val_loss=5.5927, val_acc=0.0840
Epoch 48: val_loss=5.6263, val_acc=0.0886
Epoch 49: val_loss=5.6049, val_acc=0.0910
Epoch 50: val_loss=5.6256, val_acc=0.0976
Epoch 51: val_loss=5.6521, val_acc=0.0969
Epoch 52: val_loss=5.6834, val_acc=0.0986
Epoch 53: val_loss=5.6593, val_acc=0.1063
Epoch 54: val_loss=5.6606, val_acc=0.1075
Epoch 55: val_loss=5.6779, val_acc=0.1107
Epoch 56: val_loss=5.6984, val_acc=0.1148
Epoch 57: val_loss=5.8108, val_acc=0.1080
Epoch 58: val_loss=5.8902, val_acc=0.1035
Epoch 59: val_loss=5.8570, val_acc=0.1116
Epoch 60: val_loss=5.9399, val_acc=0.1092
Epoch 61: val_loss=5.8796, val_acc=0.1226
Epoch 62: val_loss=5.9300, val_acc=0.1248
Epoch 63: val_loss=5.9304, val_acc=0.1279
Epoch 64: val_loss=5.8814, val_acc=0.1369
Epoch 65: val_loss=5.8941, val_acc=0.1371
Epoch 66: val_loss=5.8688, val_acc=0.1477
Epoch 67: val_loss=5.8774, val_acc=0.1498
Epoch 68: val_loss=5.8695, val_acc=0.1509
Epoch 69: val_loss=5.8736, val_acc=0.1532
Epoch 70: val_loss=5.8806, val_acc=0.1535
Epoch 71: val_loss=5.8933, val_acc=0.1586
Epoch 72: val_loss=5.8943, val_acc=0.1609
Epoch 73: val_loss=5.9024, val_acc=0.1594
Epoch 74: val_loss=5.9041, val_acc=0.1641
Epoch 75: val_loss=5.9212, val_acc=0.1632
Epoch 76: val_loss=5.9427, val_acc=0.1634
Epoch 77: val_loss=5.9410, val_acc=0.1634
Epoch 78: val_loss=5.9761, val_acc=0.1645
Epoch 79: val_loss=5.9669, val_acc=0.1683
Epoch 80: val_loss=5.9841, val_acc=0.1717
Epoch 81: val_loss=5.9985, val_acc=0.1685
Epoch 82: val_loss=6.0020, val_acc=0.1749
Epoch 83: val_loss=6.0061, val_acc=0.1751
