Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Initial nonzero: 421,219 (99.76%)
Training for 2000 steps (~200 epochs)
Epochs:  16%|█▌        | 31/200 [00:38<03:28,  1.24s/it]
Epoch 0: val_loss=4.6332, val_acc=0.0089
Epoch 1: val_loss=4.6209, val_acc=0.0104
Epoch 2: val_loss=4.6157, val_acc=0.0051
Epoch 3: val_loss=4.6200, val_acc=0.0051
Epoch 4: val_loss=4.6375, val_acc=0.0055
Epoch 5: val_loss=4.6628, val_acc=0.0032
Epoch 6: val_loss=4.7143, val_acc=0.0017
Epoch 7: val_loss=4.7948, val_acc=0.0011
Epoch 8: val_loss=4.8941, val_acc=0.0019
Epoch 9: val_loss=4.9827, val_acc=0.0011
Epoch 10: val_loss=5.0504, val_acc=0.0011
Epoch 11: val_loss=5.0989, val_acc=0.0006
Epoch 12: val_loss=5.1155, val_acc=0.0006
Epoch 13: val_loss=5.1542, val_acc=0.0002
Epoch 14: val_loss=5.1746, val_acc=0.0000
Epoch 15: val_loss=5.1938, val_acc=0.0009
Epoch 16: val_loss=5.2170, val_acc=0.0009
Epoch 17: val_loss=5.2259, val_acc=0.0011
Epoch 18: val_loss=5.2463, val_acc=0.0015
Epoch 19: val_loss=5.2463, val_acc=0.0011
Epoch 20: val_loss=5.2556, val_acc=0.0015
Epoch 21: val_loss=5.2602, val_acc=0.0017
Epoch 22: val_loss=5.2721, val_acc=0.0043
Epoch 23: val_loss=5.2530, val_acc=0.0040
Epoch 24: val_loss=5.2467, val_acc=0.0060
Epoch 25: val_loss=5.2279, val_acc=0.0060
Epoch 26: val_loss=5.2236, val_acc=0.0081
Epoch 27: val_loss=5.2114, val_acc=0.0077
Epoch 28: val_loss=5.1682, val_acc=0.0094
Epoch 29: val_loss=5.1290, val_acc=0.0132
Epoch 30: val_loss=5.1065, val_acc=0.0153
Epoch 31: val_loss=5.0735, val_acc=0.0189
Epoch 32: val_loss=5.0434, val_acc=0.0185
Epoch 33: val_loss=4.9820, val_acc=0.0259
Epoch 34: val_loss=4.9438, val_acc=0.0285
Epoch 35: val_loss=4.8782, val_acc=0.0383
Epoch 36: val_loss=4.8321, val_acc=0.0372
Epoch 37: val_loss=4.7357, val_acc=0.0485
Epoch 38: val_loss=4.6740, val_acc=0.0480
Epoch 39: val_loss=4.6028, val_acc=0.0574
Epoch 40: val_loss=4.4791, val_acc=0.0704
Epoch 41: val_loss=4.4479, val_acc=0.0750
Epoch 42: val_loss=4.3266, val_acc=0.0886
Epoch 43: val_loss=4.2398, val_acc=0.0995
Epoch 44: val_loss=4.1384, val_acc=0.1099
Epoch 45: val_loss=4.0629, val_acc=0.1220
Epoch 46: val_loss=3.9987, val_acc=0.1296
Epoch 47: val_loss=3.9131, val_acc=0.1409
Epoch 48: val_loss=3.8300, val_acc=0.1556
Epoch 49: val_loss=3.7919, val_acc=0.1583
Epoch 50: val_loss=3.6854, val_acc=0.1819
Epoch 51: val_loss=3.6233, val_acc=0.1904
Epoch 52: val_loss=3.5820, val_acc=0.2017
Epoch 53: val_loss=3.5138, val_acc=0.2115
Epoch 54: val_loss=3.4674, val_acc=0.2238
Epoch 55: val_loss=3.4363, val_acc=0.2253
Epoch 56: val_loss=3.3793, val_acc=0.2359
Epoch 57: val_loss=3.3247, val_acc=0.2502
Epoch 58: val_loss=3.2336, val_acc=0.2708
Epoch 59: val_loss=3.1608, val_acc=0.2914
Epoch 60: val_loss=3.1302, val_acc=0.2922
Epoch 61: val_loss=3.0974, val_acc=0.3133
Epoch 62: val_loss=3.0388, val_acc=0.3192
Epoch 63: val_loss=3.0162, val_acc=0.3126
Epoch 64: val_loss=2.9547, val_acc=0.3390
Epoch 65: val_loss=2.8874, val_acc=0.3558
Epoch 66: val_loss=2.8309, val_acc=0.3611
Epoch 67: val_loss=2.8015, val_acc=0.3692
Epoch 68: val_loss=2.7490, val_acc=0.3813
Epoch 69: val_loss=2.7282, val_acc=0.3870
Epoch 70: val_loss=2.6448, val_acc=0.4074
Epoch 71: val_loss=2.5911, val_acc=0.4187
Epoch 72: val_loss=2.5572, val_acc=0.4174
Epoch 73: val_loss=2.4954, val_acc=0.4323
Epoch 74: val_loss=2.4547, val_acc=0.4417
Epoch 75: val_loss=2.3947, val_acc=0.4527
Epoch 76: val_loss=2.3481, val_acc=0.4646
Epoch 77: val_loss=2.3002, val_acc=0.4742
Epoch 78: val_loss=2.2433, val_acc=0.4837
Epoch 79: val_loss=2.1989, val_acc=0.4893
Epoch 80: val_loss=2.1402, val_acc=0.4959
Epoch 81: val_loss=2.0683, val_acc=0.5139
Epoch 82: val_loss=2.0696, val_acc=0.5099
Epoch 83: val_loss=1.9867, val_acc=0.5258
Epoch 84: val_loss=1.9332, val_acc=0.5303
Epoch 85: val_loss=1.9032, val_acc=0.5348
Epoch 86: val_loss=1.8865, val_acc=0.5373
Epoch 87: val_loss=1.8396, val_acc=0.5401
Epoch 88: val_loss=1.7869, val_acc=0.5530
Epoch 89: val_loss=1.7043, val_acc=0.5647
Epoch 90: val_loss=1.6638, val_acc=0.5702
Epoch 91: val_loss=1.6240, val_acc=0.5711
Epoch 92: val_loss=1.5673, val_acc=0.5853
Epoch 93: val_loss=1.5227, val_acc=0.5934
Epoch 94: val_loss=1.4771, val_acc=0.5970
Epoch 95: val_loss=1.4633, val_acc=0.6038
Epoch 96: val_loss=1.4366, val_acc=0.6072
Epoch 97: val_loss=1.3866, val_acc=0.6172
Epoch 98: val_loss=1.3442, val_acc=0.6200
Epoch 99: val_loss=1.3070, val_acc=0.6310
Epoch 100: val_loss=1.2823, val_acc=0.6378
Epoch 101: val_loss=1.2348, val_acc=0.6472
Epoch 102: val_loss=1.2080, val_acc=0.6525
Epoch 103: val_loss=1.1829, val_acc=0.6604
Epoch 104: val_loss=1.1760, val_acc=0.6625
Epoch 105: val_loss=1.1399, val_acc=0.6718
Epoch 106: val_loss=1.1003, val_acc=0.6825
Epoch 107: val_loss=1.0785, val_acc=0.6844
Epoch 108: val_loss=1.0491, val_acc=0.6946
Epoch 109: val_loss=1.0123, val_acc=0.7031
Epoch 110: val_loss=0.9859, val_acc=0.7095
Epoch 111: val_loss=0.9748, val_acc=0.7116
Epoch 112: val_loss=0.9340, val_acc=0.7214
Epoch 113: val_loss=0.9208, val_acc=0.7248
Epoch 114: val_loss=0.9042, val_acc=0.7277
Epoch 115: val_loss=0.8760, val_acc=0.7411
Epoch 116: val_loss=0.8622, val_acc=0.7390
Epoch 117: val_loss=0.8305, val_acc=0.7518
Epoch 118: val_loss=0.8104, val_acc=0.7596
Epoch 119: val_loss=0.7936, val_acc=0.7660
Epoch 120: val_loss=0.7745, val_acc=0.7688
Epoch 121: val_loss=0.7555, val_acc=0.7779
Epoch 122: val_loss=0.7378, val_acc=0.7773
Epoch 123: val_loss=0.7117, val_acc=0.7928
Epoch 124: val_loss=0.7035, val_acc=0.7953
Epoch 125: val_loss=0.6812, val_acc=0.8049
Epoch 126: val_loss=0.6761, val_acc=0.8015
Epoch 127: val_loss=0.6565, val_acc=0.8070
Epoch 128: val_loss=0.6346, val_acc=0.8183
Epoch 129: val_loss=0.6113, val_acc=0.8257
Epoch 130: val_loss=0.6060, val_acc=0.8278
Epoch 131: val_loss=0.5903, val_acc=0.8291
Epoch 132: val_loss=0.5801, val_acc=0.8366
Epoch 133: val_loss=0.5646, val_acc=0.8391
Epoch 134: val_loss=0.5489, val_acc=0.8431
Epoch 135: val_loss=0.5383, val_acc=0.8508
Epoch 136: val_loss=0.5274, val_acc=0.8525
Epoch 137: val_loss=0.5116, val_acc=0.8563
Epoch 138: val_loss=0.5025, val_acc=0.8584
Epoch 139: val_loss=0.4812, val_acc=0.8670
Epoch 140: val_loss=0.4908, val_acc=0.8633
Epoch 141: val_loss=0.4616, val_acc=0.8748
Epoch 142: val_loss=0.4528, val_acc=0.8725
Epoch 143: val_loss=0.4438, val_acc=0.8793
Epoch 144: val_loss=0.4274, val_acc=0.8865
Epoch 145: val_loss=0.4193, val_acc=0.8888
Epoch 146: val_loss=0.4150, val_acc=0.8893
Epoch 147: val_loss=0.4072, val_acc=0.8942
Epoch 148: val_loss=0.4010, val_acc=0.8880
Epoch 149: val_loss=0.3832, val_acc=0.8999
Epoch 150: val_loss=0.3742, val_acc=0.8993
Epoch 151: val_loss=0.3670, val_acc=0.9010
Epoch 152: val_loss=0.3593, val_acc=0.9048
