Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Initial nonzero: 421,219 (99.76%)
Training for 2000 steps (~200 epochs)
Epochs:  16%|█▌        | 31/200 [00:58<04:51,  1.72s/it]
Epoch 0: val_loss=4.6316, val_acc=0.0087
Epoch 1: val_loss=4.6119, val_acc=0.0083
Epoch 2: val_loss=4.6067, val_acc=0.0070
Epoch 3: val_loss=4.6085, val_acc=0.0062
Epoch 4: val_loss=4.6195, val_acc=0.0062
Epoch 5: val_loss=4.6319, val_acc=0.0049
Epoch 6: val_loss=4.6554, val_acc=0.0045
Epoch 7: val_loss=4.7116, val_acc=0.0021
Epoch 8: val_loss=4.8185, val_acc=0.0034
Epoch 9: val_loss=4.8872, val_acc=0.0021
Epoch 10: val_loss=4.9494, val_acc=0.0023
Epoch 11: val_loss=4.9806, val_acc=0.0017
Epoch 12: val_loss=5.0109, val_acc=0.0013
Epoch 13: val_loss=5.0339, val_acc=0.0019
Epoch 14: val_loss=5.0595, val_acc=0.0009
Epoch 15: val_loss=5.0764, val_acc=0.0019
Epoch 16: val_loss=5.0838, val_acc=0.0015
Epoch 17: val_loss=5.1059, val_acc=0.0021
Epoch 18: val_loss=5.1258, val_acc=0.0032
Epoch 19: val_loss=5.1261, val_acc=0.0023
Epoch 20: val_loss=5.1423, val_acc=0.0026
Epoch 21: val_loss=5.1387, val_acc=0.0030
Epoch 22: val_loss=5.1601, val_acc=0.0040
Epoch 23: val_loss=5.1570, val_acc=0.0053
Epoch 24: val_loss=5.1578, val_acc=0.0036
Epoch 25: val_loss=5.1680, val_acc=0.0064
Epoch 26: val_loss=5.1769, val_acc=0.0079
Epoch 27: val_loss=5.1581, val_acc=0.0072
Epoch 28: val_loss=5.1585, val_acc=0.0089
Epoch 29: val_loss=5.1597, val_acc=0.0094
Epoch 30: val_loss=5.1323, val_acc=0.0125
Epoch 31: val_loss=5.1346, val_acc=0.0136
Epoch 32: val_loss=5.1311, val_acc=0.0138
Epoch 33: val_loss=5.1295, val_acc=0.0179
Epoch 34: val_loss=5.1080, val_acc=0.0168
Epoch 35: val_loss=5.0972, val_acc=0.0225
Epoch 36: val_loss=5.0830, val_acc=0.0270
Epoch 37: val_loss=5.0626, val_acc=0.0270
Epoch 38: val_loss=5.0546, val_acc=0.0281
Epoch 39: val_loss=5.0219, val_acc=0.0327
Epoch 40: val_loss=5.0040, val_acc=0.0342
Epoch 41: val_loss=4.9639, val_acc=0.0393
Epoch 42: val_loss=4.9052, val_acc=0.0489
Epoch 43: val_loss=4.9060, val_acc=0.0495
Epoch 44: val_loss=4.8362, val_acc=0.0529
Epoch 45: val_loss=4.8177, val_acc=0.0614
Epoch 46: val_loss=4.7452, val_acc=0.0706
Epoch 47: val_loss=4.7171, val_acc=0.0767
Epoch 48: val_loss=4.6781, val_acc=0.0848
Epoch 49: val_loss=4.6047, val_acc=0.0912
Epoch 50: val_loss=4.5679, val_acc=0.0935
Epoch 51: val_loss=4.4935, val_acc=0.1073
Epoch 52: val_loss=4.3857, val_acc=0.1271
Epoch 53: val_loss=4.3386, val_acc=0.1362
Epoch 54: val_loss=4.2398, val_acc=0.1518
Epoch 55: val_loss=4.1373, val_acc=0.1681
Epoch 56: val_loss=4.1015, val_acc=0.1777
Epoch 57: val_loss=4.0447, val_acc=0.1809
Epoch 58: val_loss=3.9234, val_acc=0.2038
Epoch 59: val_loss=3.8814, val_acc=0.2123
Epoch 60: val_loss=3.8225, val_acc=0.2176
Epoch 61: val_loss=3.7321, val_acc=0.2497
Epoch 62: val_loss=3.6983, val_acc=0.2404
Epoch 63: val_loss=3.6498, val_acc=0.2510
Epoch 64: val_loss=3.5624, val_acc=0.2644
Epoch 65: val_loss=3.4753, val_acc=0.2867
Epoch 66: val_loss=3.3901, val_acc=0.3031
Epoch 67: val_loss=3.3877, val_acc=0.3073
Epoch 68: val_loss=3.2943, val_acc=0.3254
Epoch 69: val_loss=3.2222, val_acc=0.3320
Epoch 70: val_loss=3.2079, val_acc=0.3435
Epoch 71: val_loss=3.1312, val_acc=0.3543
Epoch 72: val_loss=3.0753, val_acc=0.3692
Epoch 73: val_loss=3.0505, val_acc=0.3681
Epoch 74: val_loss=3.0032, val_acc=0.3760
Epoch 75: val_loss=2.9256, val_acc=0.3972
Epoch 76: val_loss=2.8749, val_acc=0.4000
Epoch 77: val_loss=2.8130, val_acc=0.4113
Epoch 78: val_loss=2.7595, val_acc=0.4270
Epoch 79: val_loss=2.7362, val_acc=0.4278
Epoch 80: val_loss=2.6690, val_acc=0.4414
Epoch 81: val_loss=2.6387, val_acc=0.4440
Epoch 82: val_loss=2.5994, val_acc=0.4480
Epoch 83: val_loss=2.5457, val_acc=0.4604
Epoch 84: val_loss=2.5189, val_acc=0.4642
Epoch 85: val_loss=2.4877, val_acc=0.4718
Epoch 86: val_loss=2.4322, val_acc=0.4725
Epoch 87: val_loss=2.3988, val_acc=0.4814
Epoch 88: val_loss=2.3404, val_acc=0.4869
Epoch 89: val_loss=2.3182, val_acc=0.4920
Epoch 90: val_loss=2.3028, val_acc=0.4918
Epoch 91: val_loss=2.2258, val_acc=0.5033
Epoch 92: val_loss=2.1881, val_acc=0.5075
Epoch 93: val_loss=2.1377, val_acc=0.5143
Epoch 94: val_loss=2.1075, val_acc=0.5167
Epoch 95: val_loss=2.0999, val_acc=0.5171
Epoch 96: val_loss=2.0531, val_acc=0.5239
Epoch 97: val_loss=2.0327, val_acc=0.5248
Epoch 98: val_loss=1.9648, val_acc=0.5330
Epoch 99: val_loss=1.9490, val_acc=0.5365
Epoch 100: val_loss=1.9369, val_acc=0.5405
Epoch 101: val_loss=1.9026, val_acc=0.5450
Epoch 102: val_loss=1.8617, val_acc=0.5498
Epoch 103: val_loss=1.8360, val_acc=0.5496
Epoch 104: val_loss=1.8057, val_acc=0.5583
Epoch 105: val_loss=1.7700, val_acc=0.5583
Epoch 106: val_loss=1.7381, val_acc=0.5626
Epoch 107: val_loss=1.6963, val_acc=0.5692
Epoch 108: val_loss=1.6874, val_acc=0.5698
Epoch 109: val_loss=1.6566, val_acc=0.5779
Epoch 110: val_loss=1.6125, val_acc=0.5819
Epoch 111: val_loss=1.6013, val_acc=0.5811
Epoch 112: val_loss=1.5746, val_acc=0.5892
Epoch 113: val_loss=1.5513, val_acc=0.5928
Epoch 114: val_loss=1.5592, val_acc=0.5877
Epoch 115: val_loss=1.5015, val_acc=0.5981
Epoch 116: val_loss=1.4875, val_acc=0.6043
Epoch 117: val_loss=1.4601, val_acc=0.6064
Epoch 118: val_loss=1.4298, val_acc=0.6102
Epoch 119: val_loss=1.4188, val_acc=0.6176
Epoch 120: val_loss=1.3792, val_acc=0.6204
Epoch 121: val_loss=1.3822, val_acc=0.6238
Epoch 122: val_loss=1.3620, val_acc=0.6291
Epoch 123: val_loss=1.3190, val_acc=0.6340
Epoch 124: val_loss=1.3086, val_acc=0.6397
Epoch 125: val_loss=1.2881, val_acc=0.6408
Epoch 126: val_loss=1.2631, val_acc=0.6474
Epoch 127: val_loss=1.2549, val_acc=0.6417
Epoch 128: val_loss=1.2363, val_acc=0.6519
Epoch 129: val_loss=1.2157, val_acc=0.6567
Epoch 130: val_loss=1.1888, val_acc=0.6680
Epoch 131: val_loss=1.1829, val_acc=0.6672
Epoch 132: val_loss=1.1607, val_acc=0.6699
Epoch 133: val_loss=1.1491, val_acc=0.6708
Epoch 134: val_loss=1.1298, val_acc=0.6797
Epoch 135: val_loss=1.1116, val_acc=0.6844
Epoch 136: val_loss=1.0942, val_acc=0.6912
Epoch 137: val_loss=1.0860, val_acc=0.6944
Epoch 138: val_loss=1.0640, val_acc=0.6959
Epoch 139: val_loss=1.0528, val_acc=0.7003
Epoch 140: val_loss=1.0348, val_acc=0.7035
Epoch 141: val_loss=1.0364, val_acc=0.7024
Epoch 142: val_loss=1.0197, val_acc=0.7139
Epoch 143: val_loss=1.0149, val_acc=0.7041
Epoch 144: val_loss=0.9796, val_acc=0.7112
Epoch 145: val_loss=0.9824, val_acc=0.7171
Epoch 146: val_loss=0.9559, val_acc=0.7271
Epoch 147: val_loss=0.9559, val_acc=0.7241
Epoch 148: val_loss=0.9357, val_acc=0.7290
Epoch 149: val_loss=0.9195, val_acc=0.7354
Epoch 150: val_loss=0.9165, val_acc=0.7337
Epoch 151: val_loss=0.9143, val_acc=0.7343
Epoch 152: val_loss=0.8998, val_acc=0.7388
