Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Initial nonzero: 421,219 (99.76%)
Training for 2000 steps (~200 epochs)
Epochs:  16%|█▌        | 31/200 [01:06<06:00,  2.13s/it]
Epoch 0: val_loss=4.6383, val_acc=0.0089
Epoch 1: val_loss=4.6202, val_acc=0.0094
Epoch 2: val_loss=4.6144, val_acc=0.0066
Epoch 3: val_loss=4.6154, val_acc=0.0079
Epoch 4: val_loss=4.6269, val_acc=0.0064
Epoch 5: val_loss=4.6427, val_acc=0.0034
Epoch 6: val_loss=4.6647, val_acc=0.0032
Epoch 7: val_loss=4.7094, val_acc=0.0019
Epoch 8: val_loss=4.7824, val_acc=0.0021
Epoch 9: val_loss=4.8523, val_acc=0.0017
Epoch 10: val_loss=4.9225, val_acc=0.0015
Epoch 11: val_loss=5.0017, val_acc=0.0011
Epoch 12: val_loss=5.0486, val_acc=0.0015
Epoch 13: val_loss=5.0742, val_acc=0.0002
Epoch 14: val_loss=5.1144, val_acc=0.0011
Epoch 15: val_loss=5.1268, val_acc=0.0002
Epoch 16: val_loss=5.1549, val_acc=0.0009
Epoch 17: val_loss=5.1672, val_acc=0.0006
Epoch 18: val_loss=5.1582, val_acc=0.0011
Epoch 19: val_loss=5.2074, val_acc=0.0011
Epoch 20: val_loss=5.2313, val_acc=0.0006
Epoch 21: val_loss=5.2354, val_acc=0.0019
Epoch 22: val_loss=5.2500, val_acc=0.0013
Epoch 23: val_loss=5.2554, val_acc=0.0023
Epoch 24: val_loss=5.2659, val_acc=0.0023
Epoch 25: val_loss=5.2701, val_acc=0.0023
Epoch 26: val_loss=5.2899, val_acc=0.0034
Epoch 27: val_loss=5.3057, val_acc=0.0032
Epoch 28: val_loss=5.3124, val_acc=0.0028
Epoch 29: val_loss=5.3271, val_acc=0.0038
Epoch 30: val_loss=5.3316, val_acc=0.0043
Epoch 31: val_loss=5.3231, val_acc=0.0057
Epoch 32: val_loss=5.3413, val_acc=0.0045
Epoch 33: val_loss=5.3542, val_acc=0.0045
Epoch 34: val_loss=5.3642, val_acc=0.0040
Epoch 35: val_loss=5.3650, val_acc=0.0064
Epoch 36: val_loss=5.3636, val_acc=0.0083
Epoch 37: val_loss=5.3125, val_acc=0.0094
Epoch 38: val_loss=5.3407, val_acc=0.0085
Epoch 39: val_loss=5.3446, val_acc=0.0094
Epoch 40: val_loss=5.3210, val_acc=0.0100
Epoch 41: val_loss=5.3446, val_acc=0.0132
Epoch 42: val_loss=5.3319, val_acc=0.0134
Epoch 43: val_loss=5.2744, val_acc=0.0138
Epoch 44: val_loss=5.3186, val_acc=0.0130
Epoch 45: val_loss=5.3193, val_acc=0.0128
Epoch 46: val_loss=5.3031, val_acc=0.0151
Epoch 47: val_loss=5.2943, val_acc=0.0183
Epoch 48: val_loss=5.2610, val_acc=0.0183
Epoch 49: val_loss=5.2314, val_acc=0.0210
Epoch 50: val_loss=5.2535, val_acc=0.0217
Epoch 51: val_loss=5.2500, val_acc=0.0193
Epoch 52: val_loss=5.2220, val_acc=0.0236
Epoch 53: val_loss=5.1696, val_acc=0.0268
Epoch 54: val_loss=5.1179, val_acc=0.0272
Epoch 55: val_loss=5.1408, val_acc=0.0304
Epoch 56: val_loss=5.1068, val_acc=0.0304
Epoch 57: val_loss=5.0772, val_acc=0.0306
Epoch 58: val_loss=5.0262, val_acc=0.0306
Epoch 59: val_loss=4.9726, val_acc=0.0393
Epoch 60: val_loss=4.9721, val_acc=0.0327
Epoch 61: val_loss=4.9357, val_acc=0.0417
Epoch 62: val_loss=4.8377, val_acc=0.0446
Epoch 63: val_loss=4.8616, val_acc=0.0465
Epoch 64: val_loss=4.8451, val_acc=0.0470
Epoch 65: val_loss=4.7852, val_acc=0.0521
Epoch 66: val_loss=4.7862, val_acc=0.0533
Epoch 67: val_loss=4.7329, val_acc=0.0582
Epoch 68: val_loss=4.7135, val_acc=0.0565
Epoch 69: val_loss=4.6551, val_acc=0.0623
Epoch 70: val_loss=4.6343, val_acc=0.0642
Epoch 71: val_loss=4.6098, val_acc=0.0650
Epoch 72: val_loss=4.5721, val_acc=0.0721
Epoch 73: val_loss=4.5101, val_acc=0.0784
Epoch 74: val_loss=4.4665, val_acc=0.0827
Epoch 75: val_loss=4.4681, val_acc=0.0735
Epoch 76: val_loss=4.3795, val_acc=0.0827
Epoch 77: val_loss=4.3331, val_acc=0.0935
Epoch 78: val_loss=4.2872, val_acc=0.0976
Epoch 79: val_loss=4.2689, val_acc=0.1014
Epoch 80: val_loss=4.1948, val_acc=0.1167
Epoch 81: val_loss=4.2134, val_acc=0.1050
Epoch 82: val_loss=4.1365, val_acc=0.1103
Epoch 83: val_loss=4.0673, val_acc=0.1182
Epoch 84: val_loss=4.0348, val_acc=0.1207
Epoch 85: val_loss=3.9967, val_acc=0.1269
Epoch 86: val_loss=3.9388, val_acc=0.1386
Epoch 87: val_loss=3.9653, val_acc=0.1318
Epoch 88: val_loss=3.8708, val_acc=0.1422
Epoch 89: val_loss=3.8296, val_acc=0.1501
Epoch 90: val_loss=3.7588, val_acc=0.1577
Epoch 91: val_loss=3.7508, val_acc=0.1607
Epoch 92: val_loss=3.6766, val_acc=0.1654
Epoch 93: val_loss=3.7680, val_acc=0.1488
Epoch 94: val_loss=3.6448, val_acc=0.1664
Epoch 95: val_loss=3.5623, val_acc=0.1826
Epoch 96: val_loss=3.5258, val_acc=0.1834
Epoch 97: val_loss=3.4699, val_acc=0.1949
Epoch 98: val_loss=3.4550, val_acc=0.1940
Epoch 99: val_loss=3.4548, val_acc=0.1962
Epoch 100: val_loss=3.4394, val_acc=0.1996
Epoch 101: val_loss=3.3726, val_acc=0.2087
Epoch 102: val_loss=3.3162, val_acc=0.2223
Epoch 103: val_loss=3.2945, val_acc=0.2206
Epoch 104: val_loss=3.2833, val_acc=0.2249
Epoch 105: val_loss=3.2446, val_acc=0.2242
Epoch 106: val_loss=3.3418, val_acc=0.1974
Epoch 107: val_loss=3.2029, val_acc=0.2155
Epoch 108: val_loss=3.1370, val_acc=0.2395
Epoch 109: val_loss=3.0736, val_acc=0.2580
Epoch 110: val_loss=3.0746, val_acc=0.2550
Epoch 111: val_loss=3.0455, val_acc=0.2608
Epoch 112: val_loss=3.1042, val_acc=0.2508
Epoch 113: val_loss=3.0175, val_acc=0.2644
Epoch 114: val_loss=2.9873, val_acc=0.2640
Epoch 115: val_loss=2.9654, val_acc=0.2735
Epoch 116: val_loss=2.9347, val_acc=0.2831
Epoch 117: val_loss=2.8901, val_acc=0.2922
Epoch 118: val_loss=3.0035, val_acc=0.2678
Epoch 119: val_loss=2.8833, val_acc=0.2880
Epoch 120: val_loss=2.8629, val_acc=0.2937
Epoch 121: val_loss=2.8087, val_acc=0.2980
Epoch 122: val_loss=2.7786, val_acc=0.3099
Epoch 123: val_loss=2.7727, val_acc=0.3088
Epoch 124: val_loss=2.7387, val_acc=0.3146
Epoch 125: val_loss=2.8041, val_acc=0.2978
Epoch 126: val_loss=2.7130, val_acc=0.3188
Epoch 127: val_loss=2.6917, val_acc=0.3146
Epoch 128: val_loss=2.6572, val_acc=0.3220
Epoch 129: val_loss=2.6299, val_acc=0.3333
Epoch 130: val_loss=2.6180, val_acc=0.3345
Epoch 131: val_loss=2.7035, val_acc=0.3035
Epoch 132: val_loss=2.5944, val_acc=0.3367
Epoch 133: val_loss=2.5732, val_acc=0.3377
Epoch 134: val_loss=2.5358, val_acc=0.3437
Epoch 135: val_loss=2.5310, val_acc=0.3441
Epoch 136: val_loss=2.5075, val_acc=0.3488
Epoch 137: val_loss=3.1397, val_acc=0.2055
Epoch 138: val_loss=2.6650, val_acc=0.2963
Epoch 139: val_loss=2.5356, val_acc=0.3207
Epoch 140: val_loss=2.4273, val_acc=0.3469
Epoch 141: val_loss=2.4164, val_acc=0.3594
Epoch 142: val_loss=2.3921, val_acc=0.3615
Epoch 143: val_loss=3.0958, val_acc=0.2227
Epoch 144: val_loss=2.5118, val_acc=0.3286
Epoch 145: val_loss=2.4348, val_acc=0.3530
Epoch 146: val_loss=2.3552, val_acc=0.3620
Epoch 147: val_loss=2.3384, val_acc=0.3711
Epoch 148: val_loss=2.3129, val_acc=0.3785
Epoch 149: val_loss=2.2920, val_acc=0.3821
Epoch 150: val_loss=2.3702, val_acc=0.3641
Epoch 151: val_loss=2.3280, val_acc=0.3728
Epoch 152: val_loss=2.2922, val_acc=0.3783
