Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Initial nonzero: 421,219 (99.76%)
Training for 2000 steps (~200 epochs)
Epochs:  16%|█▌        | 31/200 [01:03<05:21,  1.90s/it]
Epoch 0: val_loss=4.6352, val_acc=0.0096
Epoch 1: val_loss=4.6186, val_acc=0.0096
Epoch 2: val_loss=4.6144, val_acc=0.0068
Epoch 3: val_loss=4.6152, val_acc=0.0051
Epoch 4: val_loss=4.6270, val_acc=0.0053
Epoch 5: val_loss=4.6396, val_acc=0.0057
Epoch 6: val_loss=4.6595, val_acc=0.0043
Epoch 7: val_loss=4.6974, val_acc=0.0021
Epoch 8: val_loss=4.7590, val_acc=0.0023
Epoch 9: val_loss=4.8282, val_acc=0.0021
Epoch 10: val_loss=4.9125, val_acc=0.0017
Epoch 11: val_loss=4.9757, val_acc=0.0021
Epoch 12: val_loss=5.0411, val_acc=0.0015
Epoch 13: val_loss=5.0710, val_acc=0.0009
Epoch 14: val_loss=5.0981, val_acc=0.0006
Epoch 15: val_loss=5.1234, val_acc=0.0006
Epoch 16: val_loss=5.1399, val_acc=0.0006
Epoch 17: val_loss=5.1699, val_acc=0.0011
Epoch 18: val_loss=5.1375, val_acc=0.0009
Epoch 19: val_loss=5.2085, val_acc=0.0006
Epoch 20: val_loss=5.2211, val_acc=0.0004
Epoch 21: val_loss=5.2337, val_acc=0.0002
Epoch 22: val_loss=5.2488, val_acc=0.0013
Epoch 23: val_loss=5.2444, val_acc=0.0011
Epoch 24: val_loss=5.2836, val_acc=0.0015
Epoch 25: val_loss=5.2679, val_acc=0.0017
Epoch 26: val_loss=5.3026, val_acc=0.0011
Epoch 27: val_loss=5.3164, val_acc=0.0011
Epoch 28: val_loss=5.3107, val_acc=0.0019
Epoch 29: val_loss=5.3287, val_acc=0.0023
Epoch 30: val_loss=5.3275, val_acc=0.0030
Epoch 31: val_loss=5.3405, val_acc=0.0026
Epoch 32: val_loss=5.3208, val_acc=0.0030
Epoch 33: val_loss=5.3764, val_acc=0.0036
Epoch 34: val_loss=5.3851, val_acc=0.0051
Epoch 35: val_loss=5.3874, val_acc=0.0051
Epoch 36: val_loss=5.3902, val_acc=0.0055
Epoch 37: val_loss=5.3543, val_acc=0.0062
Epoch 38: val_loss=5.4028, val_acc=0.0043
Epoch 39: val_loss=5.3560, val_acc=0.0074
Epoch 40: val_loss=5.3734, val_acc=0.0089
Epoch 41: val_loss=5.3722, val_acc=0.0074
Epoch 42: val_loss=5.4007, val_acc=0.0062
Epoch 43: val_loss=5.4007, val_acc=0.0074
Epoch 44: val_loss=5.3558, val_acc=0.0087
Epoch 45: val_loss=5.3932, val_acc=0.0091
Epoch 46: val_loss=5.3152, val_acc=0.0104
Epoch 47: val_loss=5.3293, val_acc=0.0130
Epoch 48: val_loss=5.3244, val_acc=0.0151
Epoch 49: val_loss=5.3178, val_acc=0.0130
Epoch 50: val_loss=5.3294, val_acc=0.0142
Epoch 51: val_loss=5.2863, val_acc=0.0155
Epoch 52: val_loss=5.2613, val_acc=0.0189
Epoch 53: val_loss=5.2590, val_acc=0.0181
Epoch 54: val_loss=5.2798, val_acc=0.0213
Epoch 55: val_loss=5.2206, val_acc=0.0206
Epoch 56: val_loss=5.1713, val_acc=0.0236
Epoch 57: val_loss=5.1635, val_acc=0.0259
Epoch 58: val_loss=5.1487, val_acc=0.0281
Epoch 59: val_loss=5.1214, val_acc=0.0283
Epoch 60: val_loss=5.0862, val_acc=0.0293
Epoch 61: val_loss=5.0228, val_acc=0.0278
Epoch 62: val_loss=4.9999, val_acc=0.0378
Epoch 63: val_loss=4.9663, val_acc=0.0355
Epoch 64: val_loss=4.9349, val_acc=0.0393
Epoch 65: val_loss=4.8822, val_acc=0.0436
Epoch 66: val_loss=4.8496, val_acc=0.0446
Epoch 67: val_loss=4.8016, val_acc=0.0459
Epoch 68: val_loss=4.7395, val_acc=0.0546
Epoch 69: val_loss=4.7033, val_acc=0.0557
Epoch 70: val_loss=4.6628, val_acc=0.0599
Epoch 71: val_loss=4.6264, val_acc=0.0650
Epoch 72: val_loss=4.5624, val_acc=0.0742
Epoch 73: val_loss=4.5159, val_acc=0.0772
Epoch 74: val_loss=4.4932, val_acc=0.0793
Epoch 75: val_loss=4.4222, val_acc=0.0897
Epoch 76: val_loss=4.3626, val_acc=0.0910
Epoch 77: val_loss=4.3003, val_acc=0.1003
Epoch 78: val_loss=4.2392, val_acc=0.1073
Epoch 79: val_loss=4.1870, val_acc=0.1124
Epoch 80: val_loss=4.1432, val_acc=0.1194
Epoch 81: val_loss=4.0848, val_acc=0.1218
Epoch 82: val_loss=4.0045, val_acc=0.1394
Epoch 83: val_loss=3.9488, val_acc=0.1494
Epoch 84: val_loss=3.9242, val_acc=0.1433
Epoch 85: val_loss=3.8267, val_acc=0.1554
Epoch 86: val_loss=3.7743, val_acc=0.1713
Epoch 87: val_loss=3.7301, val_acc=0.1743
Epoch 88: val_loss=3.6496, val_acc=0.1870
Epoch 89: val_loss=3.6132, val_acc=0.1883
Epoch 90: val_loss=3.5515, val_acc=0.2009
Epoch 91: val_loss=3.5200, val_acc=0.2023
Epoch 92: val_loss=3.4319, val_acc=0.2166
Epoch 93: val_loss=3.3841, val_acc=0.2247
Epoch 94: val_loss=3.2997, val_acc=0.2378
Epoch 95: val_loss=3.2452, val_acc=0.2506
Epoch 96: val_loss=3.1680, val_acc=0.2661
Epoch 97: val_loss=3.0896, val_acc=0.2880
Epoch 98: val_loss=3.0655, val_acc=0.2780
Epoch 99: val_loss=3.0026, val_acc=0.2973
Epoch 100: val_loss=2.9433, val_acc=0.3109
Epoch 101: val_loss=2.8970, val_acc=0.3158
Epoch 102: val_loss=2.8371, val_acc=0.3269
Epoch 103: val_loss=2.7968, val_acc=0.3394
Epoch 104: val_loss=2.7403, val_acc=0.3464
Epoch 105: val_loss=2.7059, val_acc=0.3477
Epoch 106: val_loss=2.6675, val_acc=0.3605
Epoch 107: val_loss=2.6152, val_acc=0.3666
Epoch 108: val_loss=2.5600, val_acc=0.3851
Epoch 109: val_loss=2.5285, val_acc=0.3900
Epoch 110: val_loss=2.4922, val_acc=0.3964
Epoch 111: val_loss=2.4473, val_acc=0.4028
Epoch 112: val_loss=2.4200, val_acc=0.4081
Epoch 113: val_loss=2.3978, val_acc=0.4111
Epoch 114: val_loss=2.3658, val_acc=0.4176
Epoch 115: val_loss=2.3194, val_acc=0.4334
Epoch 116: val_loss=2.2844, val_acc=0.4351
Epoch 117: val_loss=2.2472, val_acc=0.4429
Epoch 118: val_loss=2.2286, val_acc=0.4487
Epoch 119: val_loss=2.2052, val_acc=0.4529
Epoch 120: val_loss=2.1763, val_acc=0.4589
Epoch 121: val_loss=2.1334, val_acc=0.4621
Epoch 122: val_loss=2.1216, val_acc=0.4695
Epoch 123: val_loss=2.0907, val_acc=0.4731
Epoch 124: val_loss=2.0734, val_acc=0.4803
Epoch 125: val_loss=2.0439, val_acc=0.4852
Epoch 126: val_loss=2.0186, val_acc=0.4948
Epoch 127: val_loss=2.0065, val_acc=0.4933
Epoch 128: val_loss=1.9886, val_acc=0.4961
Epoch 129: val_loss=1.9620, val_acc=0.5014
Epoch 130: val_loss=1.9403, val_acc=0.5061
Epoch 131: val_loss=1.9199, val_acc=0.5029
Epoch 132: val_loss=1.8895, val_acc=0.5180
Epoch 133: val_loss=1.8934, val_acc=0.5150
Epoch 134: val_loss=1.8724, val_acc=0.5171
Epoch 135: val_loss=1.8502, val_acc=0.5258
Epoch 136: val_loss=1.8275, val_acc=0.5279
Epoch 137: val_loss=1.8201, val_acc=0.5275
Epoch 138: val_loss=1.8075, val_acc=0.5294
Epoch 139: val_loss=1.7913, val_acc=0.5373
Epoch 140: val_loss=1.7681, val_acc=0.5379
Epoch 141: val_loss=1.7589, val_acc=0.5388
Epoch 142: val_loss=1.7474, val_acc=0.5388
Epoch 143: val_loss=1.7317, val_acc=0.5422
Epoch 144: val_loss=1.7169, val_acc=0.5515
Epoch 145: val_loss=1.7055, val_acc=0.5509
Epoch 146: val_loss=1.6819, val_acc=0.5522
Epoch 147: val_loss=1.6821, val_acc=0.5522
Epoch 148: val_loss=1.6720, val_acc=0.5571
Epoch 149: val_loss=1.6547, val_acc=0.5620
Epoch 150: val_loss=1.6452, val_acc=0.5617
Epoch 151: val_loss=1.6414, val_acc=0.5637
Epoch 152: val_loss=1.6327, val_acc=0.5671
