Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Initial nonzero: 421,219 (99.76%)
Training for 4000 steps (~400 epochs)
Epochs:   8%|▊         | 31/400 [00:56<11:15,  1.83s/it]
Epoch 0: val_loss=4.6797, val_acc=0.0100
Epoch 1: val_loss=4.6220, val_acc=0.0096
Epoch 2: val_loss=4.6137, val_acc=0.0079
Epoch 3: val_loss=4.6144, val_acc=0.0081
Epoch 4: val_loss=4.6224, val_acc=0.0053
Epoch 5: val_loss=4.6304, val_acc=0.0057
Epoch 6: val_loss=4.6418, val_acc=0.0070
Epoch 7: val_loss=4.6652, val_acc=0.0032
Epoch 8: val_loss=4.7003, val_acc=0.0043
Epoch 9: val_loss=4.7217, val_acc=0.0036
Epoch 10: val_loss=4.7585, val_acc=0.0021
Epoch 11: val_loss=4.7925, val_acc=0.0034
Epoch 12: val_loss=4.8291, val_acc=0.0023
Epoch 13: val_loss=4.8763, val_acc=0.0032
Epoch 14: val_loss=4.9149, val_acc=0.0017
Epoch 15: val_loss=4.9400, val_acc=0.0021
Epoch 16: val_loss=4.9599, val_acc=0.0017
Epoch 17: val_loss=4.9840, val_acc=0.0021
Epoch 18: val_loss=4.9973, val_acc=0.0021
Epoch 19: val_loss=5.0226, val_acc=0.0013
Epoch 20: val_loss=5.0377, val_acc=0.0019
Epoch 21: val_loss=5.0538, val_acc=0.0019
Epoch 22: val_loss=5.0662, val_acc=0.0019
Epoch 23: val_loss=5.0889, val_acc=0.0021
Epoch 24: val_loss=5.1029, val_acc=0.0015
Epoch 25: val_loss=5.1320, val_acc=0.0026
Epoch 26: val_loss=5.1394, val_acc=0.0034
Epoch 27: val_loss=5.1622, val_acc=0.0036
Epoch 28: val_loss=5.1832, val_acc=0.0038
Epoch 29: val_loss=5.1905, val_acc=0.0032
Epoch 30: val_loss=5.2053, val_acc=0.0045
Epoch 31: val_loss=5.2266, val_acc=0.0043
Epoch 32: val_loss=5.2478, val_acc=0.0045
Epoch 33: val_loss=5.2559, val_acc=0.0055
Epoch 34: val_loss=5.2804, val_acc=0.0036
Epoch 35: val_loss=5.2924, val_acc=0.0062
Epoch 36: val_loss=5.3227, val_acc=0.0053
Epoch 37: val_loss=5.3255, val_acc=0.0051
Epoch 38: val_loss=5.3460, val_acc=0.0057
Epoch 39: val_loss=5.3486, val_acc=0.0070
Epoch 40: val_loss=5.3760, val_acc=0.0074
Epoch 41: val_loss=5.3826, val_acc=0.0074
Epoch 42: val_loss=5.4001, val_acc=0.0072
Epoch 43: val_loss=5.4318, val_acc=0.0072
Epoch 44: val_loss=5.4296, val_acc=0.0089
Epoch 45: val_loss=5.4659, val_acc=0.0100
Epoch 46: val_loss=5.4761, val_acc=0.0102
Epoch 47: val_loss=5.4992, val_acc=0.0113
Epoch 48: val_loss=5.5272, val_acc=0.0113
Epoch 49: val_loss=5.5094, val_acc=0.0115
Epoch 50: val_loss=5.5360, val_acc=0.0100
Epoch 51: val_loss=5.5186, val_acc=0.0121
Epoch 52: val_loss=5.5278, val_acc=0.0138
Epoch 53: val_loss=5.5468, val_acc=0.0130
Epoch 54: val_loss=5.5840, val_acc=0.0106
