Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Initial nonzero: 421,219 (99.76%)
Training for 4000 steps (~400 epochs)
Epochs:   8%|▊         | 31/400 [00:52<10:49,  1.76s/it]
Epoch 0: val_loss=4.6670, val_acc=0.0098
Epoch 1: val_loss=4.6220, val_acc=0.0094
Epoch 2: val_loss=4.6204, val_acc=0.0079
Epoch 3: val_loss=4.6158, val_acc=0.0068
Epoch 4: val_loss=4.6250, val_acc=0.0051
Epoch 5: val_loss=4.6377, val_acc=0.0060
Epoch 6: val_loss=4.6520, val_acc=0.0045
Epoch 7: val_loss=4.6825, val_acc=0.0032
Epoch 8: val_loss=4.7307, val_acc=0.0026
Epoch 9: val_loss=4.7745, val_acc=0.0021
Epoch 10: val_loss=4.8254, val_acc=0.0038
Epoch 11: val_loss=4.8790, val_acc=0.0030
Epoch 12: val_loss=4.9533, val_acc=0.0026
Epoch 13: val_loss=4.9902, val_acc=0.0009
Epoch 14: val_loss=5.0248, val_acc=0.0028
Epoch 15: val_loss=5.0459, val_acc=0.0017
Epoch 16: val_loss=5.0523, val_acc=0.0030
Epoch 17: val_loss=5.0838, val_acc=0.0017
Epoch 18: val_loss=5.1047, val_acc=0.0026
Epoch 19: val_loss=5.1242, val_acc=0.0026
Epoch 20: val_loss=5.1394, val_acc=0.0032
Epoch 21: val_loss=5.1478, val_acc=0.0038
Epoch 22: val_loss=5.1657, val_acc=0.0038
Epoch 23: val_loss=5.1609, val_acc=0.0043
Epoch 24: val_loss=5.1830, val_acc=0.0040
Epoch 25: val_loss=5.1969, val_acc=0.0045
Epoch 26: val_loss=5.2154, val_acc=0.0045
Epoch 27: val_loss=5.2139, val_acc=0.0047
Epoch 28: val_loss=5.2224, val_acc=0.0083
Epoch 29: val_loss=5.2460, val_acc=0.0070
Epoch 30: val_loss=5.2370, val_acc=0.0106
Epoch 31: val_loss=5.2539, val_acc=0.0085
Epoch 32: val_loss=5.2544, val_acc=0.0111
Epoch 33: val_loss=5.2640, val_acc=0.0115
Epoch 34: val_loss=5.2977, val_acc=0.0111
Epoch 35: val_loss=5.2897, val_acc=0.0145
Epoch 36: val_loss=5.2738, val_acc=0.0111
Epoch 37: val_loss=5.2589, val_acc=0.0119
Epoch 38: val_loss=5.2872, val_acc=0.0147
Epoch 39: val_loss=5.2859, val_acc=0.0153
Epoch 40: val_loss=5.2892, val_acc=0.0151
Epoch 41: val_loss=5.2918, val_acc=0.0183
Epoch 42: val_loss=5.2725, val_acc=0.0244
Epoch 43: val_loss=5.3059, val_acc=0.0215
Epoch 44: val_loss=5.3152, val_acc=0.0238
Epoch 45: val_loss=5.2687, val_acc=0.0257
Epoch 46: val_loss=5.3123, val_acc=0.0259
Epoch 47: val_loss=5.2593, val_acc=0.0323
Epoch 48: val_loss=5.2850, val_acc=0.0310
Epoch 49: val_loss=5.2684, val_acc=0.0312
Epoch 50: val_loss=5.2561, val_acc=0.0363
Epoch 51: val_loss=5.2283, val_acc=0.0380
Epoch 52: val_loss=5.2140, val_acc=0.0372
Epoch 53: val_loss=5.2052, val_acc=0.0451
Epoch 54: val_loss=5.2255, val_acc=0.0427
