Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Initial nonzero: 421,219 (99.76%)
Training for 4000 steps (~400 epochs)
Epochs:   8%|▊         | 31/400 [01:09<12:03,  1.96s/it]
Epoch 0: val_loss=4.6726, val_acc=0.0100
Epoch 1: val_loss=4.6228, val_acc=0.0072
Epoch 2: val_loss=4.6228, val_acc=0.0081
Epoch 3: val_loss=4.6169, val_acc=0.0074
Epoch 4: val_loss=4.6264, val_acc=0.0057
Epoch 5: val_loss=4.6434, val_acc=0.0060
Epoch 6: val_loss=4.6641, val_acc=0.0036
Epoch 7: val_loss=4.6956, val_acc=0.0026
Epoch 8: val_loss=4.7494, val_acc=0.0043
Epoch 9: val_loss=4.8018, val_acc=0.0021
Epoch 10: val_loss=4.8557, val_acc=0.0034
Epoch 11: val_loss=4.9242, val_acc=0.0017
Epoch 12: val_loss=4.9911, val_acc=0.0013
Epoch 13: val_loss=5.0362, val_acc=0.0019
Epoch 14: val_loss=5.0695, val_acc=0.0004
Epoch 15: val_loss=5.0936, val_acc=0.0015
Epoch 16: val_loss=5.1021, val_acc=0.0009
Epoch 17: val_loss=5.1259, val_acc=0.0009
Epoch 18: val_loss=5.1528, val_acc=0.0013
Epoch 19: val_loss=5.1704, val_acc=0.0009
Epoch 20: val_loss=5.1892, val_acc=0.0009
Epoch 21: val_loss=5.2066, val_acc=0.0013
Epoch 22: val_loss=5.2218, val_acc=0.0013
Epoch 23: val_loss=5.2313, val_acc=0.0013
Epoch 24: val_loss=5.2562, val_acc=0.0015
Epoch 25: val_loss=5.2759, val_acc=0.0019
Epoch 26: val_loss=5.2776, val_acc=0.0023
Epoch 27: val_loss=5.2965, val_acc=0.0017
Epoch 28: val_loss=5.3288, val_acc=0.0017
Epoch 29: val_loss=5.3428, val_acc=0.0028
Epoch 30: val_loss=5.3474, val_acc=0.0026
Epoch 31: val_loss=5.3530, val_acc=0.0036
Epoch 32: val_loss=5.3587, val_acc=0.0040
Epoch 33: val_loss=5.3993, val_acc=0.0049
Epoch 34: val_loss=5.4179, val_acc=0.0040
Epoch 35: val_loss=5.4247, val_acc=0.0055
Epoch 36: val_loss=5.4295, val_acc=0.0085
Epoch 37: val_loss=5.4635, val_acc=0.0068
Epoch 38: val_loss=5.4862, val_acc=0.0089
Epoch 39: val_loss=5.4910, val_acc=0.0094
Epoch 40: val_loss=5.5143, val_acc=0.0072
Epoch 41: val_loss=5.5082, val_acc=0.0115
Epoch 42: val_loss=5.5142, val_acc=0.0108
Epoch 43: val_loss=5.5300, val_acc=0.0123
Epoch 44: val_loss=5.5455, val_acc=0.0115
Epoch 45: val_loss=5.5775, val_acc=0.0108
Epoch 46: val_loss=5.5908, val_acc=0.0115
Epoch 47: val_loss=5.5704, val_acc=0.0157
Epoch 48: val_loss=5.5856, val_acc=0.0125
Epoch 49: val_loss=5.5978, val_acc=0.0149
Epoch 50: val_loss=5.6100, val_acc=0.0170
Epoch 51: val_loss=5.6412, val_acc=0.0145
Epoch 52: val_loss=5.6215, val_acc=0.0187
Epoch 53: val_loss=5.6607, val_acc=0.0164
Epoch 54: val_loss=5.6336, val_acc=0.0183
