Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Initial nonzero: 421,219 (99.76%)
Training for 4000 steps (~400 epochs)
Epochs:   8%|▊         | 31/400 [01:04<11:33,  1.88s/it]
Epoch 0: val_loss=4.6629, val_acc=0.0121
Epoch 1: val_loss=4.6204, val_acc=0.0087
Epoch 2: val_loss=4.6171, val_acc=0.0074
Epoch 3: val_loss=4.6149, val_acc=0.0064
Epoch 4: val_loss=4.6300, val_acc=0.0068
Epoch 5: val_loss=4.6442, val_acc=0.0043
Epoch 6: val_loss=4.6753, val_acc=0.0036
Epoch 7: val_loss=4.7309, val_acc=0.0028
Epoch 8: val_loss=4.8194, val_acc=0.0019
Epoch 9: val_loss=4.9078, val_acc=0.0013
Epoch 10: val_loss=4.9831, val_acc=0.0011
Epoch 11: val_loss=5.0547, val_acc=0.0015
Epoch 12: val_loss=5.0919, val_acc=0.0013
Epoch 13: val_loss=5.1288, val_acc=0.0004
Epoch 14: val_loss=5.1464, val_acc=0.0011
Epoch 15: val_loss=5.1676, val_acc=0.0006
Epoch 16: val_loss=5.1891, val_acc=0.0009
Epoch 17: val_loss=5.1957, val_acc=0.0011
Epoch 18: val_loss=5.2051, val_acc=0.0021
Epoch 19: val_loss=5.2140, val_acc=0.0013
Epoch 20: val_loss=5.2274, val_acc=0.0015
Epoch 21: val_loss=5.2309, val_acc=0.0019
Epoch 22: val_loss=5.2491, val_acc=0.0019
Epoch 23: val_loss=5.2243, val_acc=0.0028
Epoch 24: val_loss=5.2146, val_acc=0.0036
Epoch 25: val_loss=5.2000, val_acc=0.0057
Epoch 26: val_loss=5.2083, val_acc=0.0057
Epoch 27: val_loss=5.2187, val_acc=0.0057
Epoch 28: val_loss=5.1913, val_acc=0.0051
Epoch 29: val_loss=5.1542, val_acc=0.0089
Epoch 30: val_loss=5.1324, val_acc=0.0117
Epoch 31: val_loss=5.1093, val_acc=0.0140
Epoch 32: val_loss=5.0788, val_acc=0.0142
Epoch 33: val_loss=5.0694, val_acc=0.0170
Epoch 34: val_loss=5.0400, val_acc=0.0181
Epoch 35: val_loss=4.9648, val_acc=0.0215
Epoch 36: val_loss=4.9313, val_acc=0.0255
Epoch 37: val_loss=4.8365, val_acc=0.0332
Epoch 38: val_loss=4.7768, val_acc=0.0383
Epoch 39: val_loss=4.7342, val_acc=0.0402
Epoch 40: val_loss=4.6371, val_acc=0.0455
Epoch 41: val_loss=4.5403, val_acc=0.0565
Epoch 42: val_loss=4.4625, val_acc=0.0661
Epoch 43: val_loss=4.3585, val_acc=0.0718
Epoch 44: val_loss=4.2254, val_acc=0.0884
Epoch 45: val_loss=4.1570, val_acc=0.0980
Epoch 46: val_loss=4.1168, val_acc=0.1073
Epoch 47: val_loss=4.0385, val_acc=0.1154
Epoch 48: val_loss=3.9332, val_acc=0.1296
Epoch 49: val_loss=3.8731, val_acc=0.1403
Epoch 50: val_loss=3.7895, val_acc=0.1600
Epoch 51: val_loss=3.7345, val_acc=0.1664
Epoch 52: val_loss=3.6874, val_acc=0.1739
Epoch 53: val_loss=3.6129, val_acc=0.1909
Epoch 54: val_loss=3.6123, val_acc=0.1962
