Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Initial nonzero: 421,219 (99.76%)
Training for 4000 steps (~400 epochs)
Epochs:   8%|▊         | 31/400 [01:00<12:12,  1.98s/it]
Epoch 0: val_loss=4.6621, val_acc=0.0106
Epoch 1: val_loss=4.6216, val_acc=0.0102
Epoch 2: val_loss=4.6169, val_acc=0.0087
Epoch 3: val_loss=4.6134, val_acc=0.0079
Epoch 4: val_loss=4.6295, val_acc=0.0066
Epoch 5: val_loss=4.6433, val_acc=0.0049
Epoch 6: val_loss=4.6714, val_acc=0.0036
Epoch 7: val_loss=4.7259, val_acc=0.0017
Epoch 8: val_loss=4.8147, val_acc=0.0023
Epoch 9: val_loss=4.9013, val_acc=0.0002
Epoch 10: val_loss=4.9892, val_acc=0.0011
Epoch 11: val_loss=5.0558, val_acc=0.0015
Epoch 12: val_loss=5.0933, val_acc=0.0013
Epoch 13: val_loss=5.1222, val_acc=0.0004
Epoch 14: val_loss=5.1470, val_acc=0.0006
Epoch 15: val_loss=5.1644, val_acc=0.0011
Epoch 16: val_loss=5.1941, val_acc=0.0006
Epoch 17: val_loss=5.1966, val_acc=0.0013
Epoch 18: val_loss=5.2063, val_acc=0.0021
Epoch 19: val_loss=5.2269, val_acc=0.0015
Epoch 20: val_loss=5.2419, val_acc=0.0015
Epoch 21: val_loss=5.2421, val_acc=0.0023
Epoch 22: val_loss=5.2449, val_acc=0.0038
Epoch 23: val_loss=5.2158, val_acc=0.0040
Epoch 24: val_loss=5.2470, val_acc=0.0038
Epoch 25: val_loss=5.2452, val_acc=0.0053
Epoch 26: val_loss=5.2544, val_acc=0.0049
Epoch 27: val_loss=5.2471, val_acc=0.0062
Epoch 28: val_loss=5.2238, val_acc=0.0072
Epoch 29: val_loss=5.2064, val_acc=0.0106
Epoch 30: val_loss=5.1905, val_acc=0.0121
Epoch 31: val_loss=5.1944, val_acc=0.0119
Epoch 32: val_loss=5.0917, val_acc=0.0176
Epoch 33: val_loss=5.1254, val_acc=0.0179
Epoch 34: val_loss=5.1040, val_acc=0.0244
Epoch 35: val_loss=5.0767, val_acc=0.0236
Epoch 36: val_loss=5.0372, val_acc=0.0321
Epoch 37: val_loss=5.0107, val_acc=0.0315
Epoch 38: val_loss=4.9763, val_acc=0.0338
Epoch 39: val_loss=4.9006, val_acc=0.0385
Epoch 40: val_loss=4.8322, val_acc=0.0493
Epoch 41: val_loss=4.7821, val_acc=0.0599
Epoch 42: val_loss=4.7325, val_acc=0.0580
Epoch 43: val_loss=4.6626, val_acc=0.0610
Epoch 44: val_loss=4.5737, val_acc=0.0818
Epoch 45: val_loss=4.4993, val_acc=0.0878
Epoch 46: val_loss=4.5079, val_acc=0.0735
Epoch 47: val_loss=4.3411, val_acc=0.1048
Epoch 48: val_loss=4.1974, val_acc=0.1216
Epoch 49: val_loss=4.0937, val_acc=0.1479
Epoch 50: val_loss=4.0091, val_acc=0.1590
Epoch 51: val_loss=3.9883, val_acc=0.1530
Epoch 52: val_loss=3.7782, val_acc=0.1864
Epoch 53: val_loss=3.6417, val_acc=0.2234
Epoch 54: val_loss=3.5036, val_acc=0.2529
